MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.000881595456692,0.029691673187816,0.0242379351147032,-1.1565823007895355,0.492063492063492,Naive,1,MSFT
0.000590603787488,0.0243023411935569,0.0189384018903414,-0.4447507246182156,0.5238095238095238,Ridge_Regression,1,MSFT
0.0004298394565101,0.0207325699446583,0.016572222275358,-0.0514847337905066,0.5238095238095238,Random_Forest,1,MSFT
0.0004694167453798,0.0216660274480547,0.0174814316862461,-0.148299752563298,0.5238095238095238,XGBoost,1,MSFT
0.0006252862569672,0.0250057244839498,0.019904678323543,-0.5295919057502807,0.4761904761904761,LSTM,1,MSFT
0.0006585481259374,0.0256621925395595,0.0202911048959833,-0.6109579760582038,0.4761904761904761,GRU,1,MSFT
0.0010830186437389,0.0329092486048973,0.0253325579984073,-1.6493090688967564,0.5238095238095238,Transformer,1,MSFT
0.000421798907053,0.0205377434751985,0.0162893145635536,-0.0318157274269212,0.5079365079365079,Stacked_Ensemble,1,MSFT
0.0012080867873682,0.0347575428845056,0.0291712684266781,-1.184654424215927,0.4285714285714285,Naive,2,MSFT
0.0006916178869434,0.0262986289936079,0.0212806177351006,-0.250693321354309,0.3968253968253968,Ridge_Regression,2,MSFT
0.0005803586541272,0.0240906341578465,0.0195571537191783,-0.0494967039023781,0.4603174603174603,Random_Forest,2,MSFT
0.0006311025260164,0.0251217540394071,0.0201463448336835,-0.1412598333264147,0.492063492063492,XGBoost,2,MSFT
0.0005609560066147,0.0236845098453554,0.0195680445104222,-0.0144097547089852,0.492063492063492,LSTM,2,MSFT
0.0005592359453406,0.0236481700209696,0.0195352293114613,-0.01129926669474,0.492063492063492,GRU,2,MSFT
0.0006447800525545,0.02539251961808,0.0204714849707558,-0.1659937093825416,0.492063492063492,Transformer,2,MSFT
0.0005772380809184,0.0240257795069896,0.0196261665535577,-0.0438535877473158,0.492063492063492,Stacked_Ensemble,2,MSFT
0.0006826600187213,0.0261277633700507,0.0196163909725212,-0.9687168708546284,0.6031746031746031,Naive,3,MSFT
0.0003633117604779,0.0190607387180551,0.0136217813934023,-0.0477514027737557,0.6031746031746031,Ridge_Regression,3,MSFT
0.0003675859129661,0.0191725301660002,0.0143184902168389,-0.0600775913323419,0.492063492063492,Random_Forest,3,MSFT
0.0003577439805928,0.0189141211953616,0.0140575380617461,-0.0316945342118526,0.5238095238095238,XGBoost,3,MSFT
0.0003504226638964,0.0187195796933704,0.0139228585241604,-0.0105806571694664,0.4603174603174603,LSTM,3,MSFT
0.0003602105987204,0.0189792149131752,0.0142760907224867,-0.0388079912603298,0.4285714285714285,GRU,3,MSFT
0.0003564642663524,0.0188802612893058,0.0141512905723223,-0.0280039782311369,0.4126984126984127,Transformer,3,MSFT
0.0003505166238159,0.0187220891947445,0.0140302460889877,-0.0108516273063925,0.5079365079365079,Stacked_Ensemble,3,MSFT
0.0011995886446882,0.0346350782399607,0.0255273854626172,-0.845903199004379,0.5238095238095238,Naive,4,MSFT
0.0007749266191765,0.0278375038244556,0.0215038059078367,-0.1924417021332378,0.4444444444444444,Ridge_Regression,4,MSFT
0.0006461409423015,0.025419302553406,0.0191735205793845,0.0057311415179078,0.4761904761904761,Random_Forest,4,MSFT
